solarSystemID,solarSystemName,regionID,constellationID,security,sunTypeID
30000001,Tanoo,10000001,20000001,0.858324,45041
30000002,Lashesih,10000001,20000001,0.7516890000000001,45037
30000003,Akpivem,10000001,20000001,0.846292,3799
30000004,Jark,10000001,20000001,0.817001,45030
30000005,Sasta,10000001,20000001,0.814337,45040
30000006,Zaid,10000001,20000001,0.864229,45031
30000007,Yuzier,10000001,20000001,0.906556,3800
30000008,Nirbhi,10000001,20000001,0.882116,45039
30000009,Sooma,10000001,20000002,0.577819,45039
30000010,Chidah,10000001,20000002,0.539052,8
30000011,Shenela,10000001,20000002,0.456959,45040
30000012,Asabona,10000001,20000002,0.322884,3799
30000013,Onsooh,10000001,20000002,0.442817,45047
30000014,Shamahi,10000001,20000002,0.355242,3797
30000015,Sendaya,10000001,20000002,0.293933,45037
30000016,Nazhgete,10000001,20000002,0.391497,45039
30000017,Futzchag,10000001,20000003,0.172229,3801
30000018,Kazna,10000001,20000003,0.231263,3799
30000019,Podion,10000001,20000003,0.109705,45037
30000020,Lilmad,10000001,20000003,0.160449,3797
30000021,Kuharah,10000070,20000788,-1,56098
30000022,Jayneleb,10000001,20000003,0.11384,45032
30000023,Fovihi,10000001,20000004,0.869394,45034
30000024,Kiereend,10000001,20000004,0.840835,45031
30000025,Rashy,10000001,20000004,0.803266,7
30000026,Ordize,10000001,20000004,0.695564,3798
30000027,Psasa,10000001,20000004,0.7499130000000001,45033
30000028,Eshtah,10000001,20000004,0.768433,45032
30000029,Lachailes,10000001,20000004,0.573051,45047
30000030,Kasrasi,10000001,20000004,0.573076,45030
30000031,Mohas,10000001,20000005,0.681783,7
30000032,Hasiari,10000001,20000005,0.798188,3797
30000033,Radima,10000001,20000005,0.75392,45036
30000034,Alkez,10000001,20000005,0.782123,45032
30000035,Nimambal,10000001,20000005,0.594051,45047
30000036,Yishinoon,10000001,20000005,0.424718,3801
30000037,Uplingur,10000001,20000005,0.422069,6
30000038,Dooz,10000001,20000006,0.423729,45037
30000039,Bayuka,10000001,20000006,0.400722,10
30000040,Uzistoon,10000001,20000006,0.390646,45032
30000041,Bairshir,10000001,20000006,0.364088,45040
30000042,Moh,10000001,20000006,0.472835,3796
30000043,Sari,10000001,20000006,0.379343,3798
30000044,Faspera,10000001,20000007,0.128258,3796
30000045,Jaymass,10000001,20000007,0.216311,45047
30000046,Mifrata,10000001,20000007,0.303803,45033
30000047,Majamar,10000001,20000007,0.369186,45034
30000048,Ihal,10000001,20000007,0.492701,45036
30000049,Camal,10000001,20000007,0.212977,45037
30000050,Fera,10000001,20000007,0.477246,3799
30000051,Juddi,10000001,20000008,0.649137,45047
30000052,Maspah,10000001,20000008,0.799901,3799
30000053,Ibaria,10000001,20000008,0.730979,45038
30000054,Shala,10000001,20000008,0.715564,45036
30000055,Zemalu,10000001,20000008,0.725159,45041
30000056,Khankenirdia,10000001,20000008,0.613596,7
30000057,Nikh,10000001,20000009,0.7741980000000001,7
30000058,Amphar,10000001,20000009,0.702187,3800
30000059,Salashayama,10000001,20000009,0.665586,3800
30000060,Janus,10000001,20000009,0.545571,45033
30000061,Agha,10000001,20000009,0.7187829999999999,3800
30000062,Iosantin,10000001,20000009,0.450343,45039
30000063,Orva,10000001,20000009,0.50995,3797
30000064,Zet,10000001,20000009,0.569698,7
30000065,Akhrad,10000001,20000009,0.358477,45030
30000066,Pirohdim,10000001,20000009,0.628696,3802
30000067,Sharir,10000001,20000009,0.396849,3797
30000068,Usroh,10000001,20000009,0.597458,45033
30000069,Thiarer,10000001,20000009,0.542033,45037
30000070,Gomati,10000001,20000010,0.387421,45032
30000071,Jangar,10000001,20000010,0.527329,3799
30000072,Nakah,10000001,20000010,0.363864,3799
30000073,Irshah,10000001,20000010,0.429507,45031
30000074,Hasateem,10000001,20000010,0.426496,3800
30000075,Assah,10000001,20000010,0.297802,6
30000076,Tidacha,10000001,20000011,0.820099,3798
30000077,Odlib,10000001,20000011,0.8245170000000001,3799
30000078,Jofan,10000001,20000011,0.779548,45036
30000079,Milu,10000001,20000011,0.769625,3800
30000080,Yadi,10000001,20000011,0.750268,3798
30000081,Buftiar,10000001,20000011,0.708741,7
30000082,Jarizza,10000001,20000012,0.765431,6
30000083,Ejahi,10000001,20000012,0.7289099999999999,3802
30000084,Asghatil,10000001,20000012,0.794778,45041
30000085,Bar,10000001,20000012,0.665838,45041
30000086,Sucha,10000001,20000012,0.658265,45041
30000087,Gelhan,10000001,20000012,0.701676,45038
30000088,Akeva,10000001,20000012,0.664835,45039
30000089,Sosa,10000001,20000013,0.301179,45036
30000090,Ilahed,10000001,20000013,0.315943,45032
30000091,Eshwil,10000001,20000013,0.218968,8
30000092,Aranir,10000001,20000013,0.242789,3796
30000093,Ishkad,10000001,20000013,0.366036,3802
30000094,Hahyil,10000001,20000013,0.208115,3798
30000095,Asilem,10000001,20000014,0.284998,3800
30000096,Mahnagh,10000001,20000014,0.205003,3803
30000097,Shach,10000001,20000014,0.326043,45031
30000098,Kehrara,10000001,20000014,0.364844,45041
30000099,Arena,10000001,20000014,0.44233,3800
30000100,Timeor,10000001,20000014,0.314131,45047
30000101,Uhtafal,10000001,20000014,0.499612,45032
30000102,Dysa,10000001,20000014,0.236195,45032
30000103,Serad,10000001,20000014,0.525836,45036
30000104,Mahti,10000001,20000014,0.228282,10
30000105,Abha,10000001,20000014,0.434101,6
30000106,Shedoo,10000001,20000015,0.506118,3802
30000107,Gamis,10000001,20000015,0.473906,45042
30000108,Nieril,10000001,20000015,0.35344,8
30000109,Berta,10000001,20000015,0.489557,45033
30000110,Bekirdod,10000001,20000015,0.405349,45041
30000111,Hothomouh,10000001,20000015,0.422981,3800
30000112,Arnola,10000001,20000016,0.462835,3798
30000113,Astabih,10000001,20000016,0.408818,45046
30000114,Ubtes,10000001,20000016,0.336073,45041
30000115,Bimener,10000001,20000016,0.270041,45033
30000116,Kenobanala,10000001,20000016,0.289398,3799
30000117,Khabi,10000001,20000016,0.248619,45036
30000118,Uanzin,10000001,20000016,0.433972,45030
30000119,Itamo,10000002,20000017,0.6717379999999999,3800
30000120,Mitsolen,10000002,20000017,0.633706,45034
30000121,Jatate,10000002,20000017,0.637428,45031
30000122,Mahtista,10000002,20000017,0.658238,7
30000123,Vaankalen,10000002,20000017,0.64717,10
30000124,Kylmabe,10000002,20000017,0.731931,45041
30000125,Ahtulaima,10000002,20000017,0.612689,3801
30000126,Geras,10000002,20000018,0.650146,8
30000127,Sirseshin,10000002,20000018,0.747993,45038
30000128,Tuuriainas,10000002,20000018,0.610849,3797
30000129,Unpas,10000002,20000018,0.9459649999999999,45037
30000130,Shihuken,10000002,20000018,0.8745849999999999,45038
30000131,Nomaa,10000002,20000018,0.606936,45040
30000132,Ansila,10000002,20000019,0.912017,45037
30000133,Hirtamon,10000002,20000019,0.974726,45033
30000134,Hykkota,10000002,20000019,0.823653,45040
30000135,Outuni,10000002,20000019,0.734172,3801
30000136,Ohmahailen,10000002,20000019,0.663811,3800
30000137,Eskunen,10000002,20000019,0.625294,3797
30000138,Ikuchi,10000002,20000019,0.986815,45037
30000139,Urlen,10000002,20000020,0.959995,3802
30000140,Maurasi,10000002,20000020,0.912748,8
30000141,Kisogo,10000002,20000020,1,3796
30000142,Jita,10000002,20000020,0.945913,3796
30000143,Niyabainen,10000002,20000020,0.963924,3802
